"","id","neweth","q1a","q1b","q1c","q2af","q2acf","q2bf","q2bcf","q2cf","q2ccf","q3a","q3b","q3c","q4a","q4b","q4c","q5af","q5acf","q5bf","q5bcf","q5cf","q5ccf","q6a","q6b","q6c","length","pt2_a","pt2_b","pt2_c","pt2_d","pt2_e","pt2_f","pt2_g","pt2_h","pt3_1","pt3_2","pt3_3","pt3_4","pt3_5","pt3_6","pt3_7","pt3_8","pt3_9","pt3_10","pt3_11","pt3_12","pt4_a","pt4_b","pt4_c","pt4_d","pt4_e","pt4_f","pt5_a","pt5_b","pt5_c","pt5_d","pt5_e","pt5_f","pt5_g","pt5_h","pt5_i","pt5_j","pt5_k","pt5_l","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p6_7","p6_8","p6_9","p6_10","p6_11","p6_12","pt7_a","pt7_b","pt7_c","pt7_d","pt7_e","pt7_f","pt7_g","pt7_h","pt7_i","pt7_j","pt7_k","pt7_l","pt7_m","pt7_n","pt8_1","pt8_2","pt8_3","pt8_4","pt8_5","pt8_6","pt8_7","pt8_8","pt8_9","pt8_10","pt8_11","pt8_12","pt8_13","pt8_14","pt8_15","pt8_16","pt8_17","pt8_18","pt8_19","pt8_20","pt8_21","pt8_22","pt8_23","pt8_24","pt9_a","pt9_b","pt9_c","pt9_d","pt9_e","pt9_f","pt9_g","pt9_h","pt9_i","pt9_j","pt9_k","pt9_l","pt10_wb","pr10_wg","pt10_wp","pr10_wh","pt10_wn","pt10_ab","pr10_ag","pt10_ap","pr10_ah","pt10_an","pt11_a","pt11_b","pt11_c","pt11_d","pt11_e","pt11_f","pt11_g","pt11_h","pt11_i","pt11_j","pt11_k","pt11_l","pt11_LR","pt11_m","pq12_a","pq12_b","pq12_c","pq12_d","pq12_e","pq12_f","pq12_g","pq12_g2","pq12_h","pq12_h2","last24mj","weeklymj","filter_$","st_a","st_b","st_c","st_d","st_e","st_f","st_g","st_h","st_i","st_j","st_k","st_l","D_ASIS","racemiss","eth_id","qual_p1","qual_p2","qual_p3","qxq1","qxq2","qxq3","negc_p1","negc_p2","negc_p3","pt4_dr","pt4_fr","pt1","pt2","pt3","p3_1r","p3_3r","p3_6r","p3_10r","p3_11r","p3_12r","anx1","anx2","anx3","p6_1r","p6_3r","p6_5r","p6_7r","p6_9r","p6_11r","negatt1","negatt2","negatt3","ster1","ster2","ster3","realth1","realth2","realth3","symbth1","symbth2","symbth3","pt11_ar","pt11_cr","missing","st_ar","st_er","st_gr","st_fr"
"11",111,1,7,5,5,NA,NA,NA,NA,NA,NA,7,5,5,9,9,9,10,5,6,3,4,2,10,5,5,48,5,10,10,6,10,10,4,8,9,1,7,0,0,8,0,0,0,9,9,9,5,0,3,0,5,0,8,1,2,2,1,6,8,1,1,2,7,3,0,5,0,9,0,9,0,9,0,4,4,9,0,0,1,2,1,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,1,0,0,0,0,5,0,9,0,0,2,7,9,9,0,0,0,2,1,4,4,4,4,4,4,4,4,4,4,9,0,0,0,6,9,9,0,9,9,5,7,2,9,1,25,1,1,3,2,4,120,1,14,1,1,1,72,0,0,4,7,54,72,0,0,0,14,3,-0.38638103323423,0,9,15,16,20,75,144,100,4,4,3,9,9,5,12,14,0,2,1,0,0,0,3,1,0,9,9,9,9,9,5,32,36,27,4,54,31,0,0,1,13,1,5,0,9,0,0,20,0,0
"12",112,1,10,8,7,10,5,6,2,3,2,8,6,3,10,4,4,20,6,5,2,5,4,10,4,4,156,8,9,10,8,8,5,6,7,6,4,7,4,3,5,2,3,4,6,6,6,4,3,2,3,4,5,6,4,3,3,6,7,7,3,2,7,5,7,3,5,3,6,3,4,3,5,2,6,3,5,4,3,2,4,5,1,2,1,2,4,2,4,2,3,0,0,3,0,0,0,2,0,3,0,1,0,5,0,3,6,0,1,0,0,3,5,9,4,6,0,1,5,6,4,6,0,1,3,4,3,3,4,4,5,3,4,4,4,5,3,5,3,7,2,2,7,6,3,7,8,7,7,2,8,1,42,3,3,4,1,4,72,6,NA,0,0,1,36,0,3,15,36,28,42,0,2,21,20,21,-0.416180596904842,0,11,17,18,13,136,72,52,18,10,11,6,4,7,8,8,3,2,4,3,3,3,13,12,13,6,6,6,6,7,6,23,21,24,18,30,61,3,2,4,14,1,21,4,2,0,15,15,12,20
"13",113,7,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,3,4,10,10,7,10,10,0,7,9,0,9,0,0,9,0,0,0,9,9,9,5,5,5,1,4,1,9,1,1,1,4,4,9,1,1,5,5,1,0,5,0,7,0,6,0,7,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,4,6,8,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,9,0,9,0,0,5,0,0,0,2,0,9,0,9,7,22,3,4,5,1,5,72,2,48,0,1,1,81,0,0,0,16,24,72,0,0,0,15,4,-0.23440262734594,0,0,14,17,20,140,170,200,0,0,0,8,8,10,13,12,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,30,31,33,0,24,34,0,0,0,0,0,4,0,0,0,0,35,2,21
"14",114,4,10,5,6,20,10,3,0,3,1,10,1,2,10,2,3,20,10,3,0,2,0,10,1,2,3,4,3,7,4,7,5,0,1,4,7,7,2,5,5,7,8,6,2,6,2,2,2,2,2,4,8,3,5,1,2,1,2,2,2,3,3,2,9,7,5,7,3,7,6,5,5,5,6,6,5,5,5,5,6,5,3,3,8,5,2,0,0,0,0,2,6,4,7,5,6,5,8,5,2,4,5,8,8,5,8,8,7,7,2,6,7,7,8,7,3,2,0,0,6,4,4,5,5,7,0,1,2,2,2,2,7,7,7,7,7,5,5,3,7,8,9,9,9,9,8,3,5,4,5,7,30,4,3,2,2,4,24,6,NA,0,0,1,21,15,2,0,0,12,8,8,15,15,14,0,0.0336239253808451,0,22,7,11,12,35,22,12,26,21,0,7,1,4,9,5,5,2,4,7,3,7,16,24,23,2,2,2,4,4,3,12,17,18,17,35,28,19,24,16,29,24,28,4,6,0,16,90,45,27
"15",115,1,10,8,8,15,7,4,1,5,2,10,8,9,10,10,10,20,5,10,2,10,2,10,10,10,111,NA,10,10,9,10,7,3,8,9,1,8,1,1,8,1,1,1,8,8,8,6,5,4,4,4,5,6,6,6,6,6,9,6,6,6,6,6,6,2,8,1,8,0,8,0,8,0,7,0,8,5,5,5,5,1,3,3,0,2,0,0,3,0,5,2,1,5,2,0,1,0,2,3,0,1,0,2,9,5,5,0,1,1,1,1,1,9,5,9,5,2,0,5,5,9,0,0,2,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,3,1,7,8,1,5,2,2,8,1,9,1,21,3,2,2,2,4,15,6,NA,0,0,1,54,30,12,0,30,45,54,0,0,12,30,30,-0.692388197260084,0,16,NA,19,17,NA,190,170,21,8,8,5,4,11,9,8,0,1,1,1,1,1,3,4,4,7,8,9,9,9,9,31,34,33,42,45,90,10,3,4,21,3,16,4,5,0,0,20,0,8
"16",116,1,10,9,5,50,20,20,0,20,0,10,3,1,10,2,8,200,20,30,5,60,7,10,2,10,24,6,10,10,8,10,9,5,4,5,5,9,1,0,7,0,2,1,8,8,8,7,3,4,2,0,0,9,2,1,2,4,2,4,1,1,5,3,3,0,7,0,9,0,9,0,9,0,8,0,9,8,1,3,3,0,1,1,3,0,1,0,5,0,2,0,0,0,0,0,0,0,0,1,0,4,0,2,8,1,4,0,7,1,0,0,1,0,0,7,2,0,1,4,4,5,0,0,0,1,4,1,4,2,4,4,1,4,3,4,4,9,0,9,0,6,9,9,4,8,9,9,7,2,9,1,24,2,1,1,2,3,13,2,4,1,1,1,63,4,0,2,16,8,20,0,0,0,3,12,0.132893854928226,0,0,16,18,19,144,36,38,15,6,7,7,9,10,11,9,4,0,2,1,1,1,10,4,4,9,9,9,9,9,9,34,36,35,6,8,18,0,0,5,15,8,1,0,0,0,4,35,28,45
"17",117,4,10,10,5,50,3,50,5,45,2,8,10,6,3,10,9,NA,3,NA,28,NA,10,8,10,8,28,10,10,0,10,10,8,8,10,8,2,8,0,0,9,0,0,0,9,9,9,9,9,9,0,9,0,9,1,1,5,9,10,10,2,1,8,7,2,1,8,0,8,5,8,8,8,0,8,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,5,0,9,0,0,9,9,9,9,0,0,5,2,7,1,1,1,1,1,1,1,1,1,1,0,9,8,9,7,3,9,0,5,7,5,5,4,5,7,21,4,1,2,2,5,148,6,NA,0,0,1,81,0,0,45,81,90,90,0,0,40,14,14,-0.388937538490112,0,28,20,10,18,200,100,180,2,2,0,9,9,18,18,18,1,1,0,0,0,0,4,0,0,8,9,4,1,9,9,33,21,27,45,90,42,5,0,0,0,9,9,9,1,0,0,0,0,0
"18",118,1,10,3,5,40,2,0,0,10,2,10,1,3,10,3,7,50,2,0,0,30,2,10,1,6,13,2,10,8,5,10,10,0,1,7,5,6,3,3,6,3,0,1,5,7,7,0,0,0,9,0,6,9,1,3,3,10,10,10,2,2,6,3,3,5,5,2,6,0,2,4,7,5,8,5,6,3,3,0,0,3,0,2,0,1,0,0,1,0,3,0,0,6,3,3,3,1,0,7,0,0,0,6,0,0,8,0,7,0,0,0,6,0,8,9,2,2,2,9,9,9,0,0,5,7,7,4,4,4,4,4,4,4,4,4,4,7,9,6,6,5,9,6,2,9,7,7,8,1,9,1,23,5,1,3,2,2,19,1,NA,0,1,1,81,2,6,6,90,90,90,0,0,30,21,21,-0.334739529945758,0,20,12,13,20,36,39,20,9,3,4,0,3,0,0,3,2,3,3,4,2,2,13,9,9,4,7,9,5,4,4,22,23,22,14,90,63,9,7,7,14,7,14,2,3,0,0,0,0,0
"19",119,1,10,9,7,20,5,5,3,0,0,9,6,4,10,8,7,NA,5.5,NA,2.5,NA,NA,10,8,7,120,7,10,10,7,10,7,5,5,8,1,8,1,1,9,1,1,0,8,8,9,5,5,5,5,5,5,8,1,2,2,7,6,8,1,1,5,4,6,0,5,5,8,5,5,0,5,0,5,0,5,1,1,0,0,2,1,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,5,0,1,0,1,0,0,1,0,4,1,8,0,0,2,9,7,7,0,0,3,1,4,4,4,4,4,4,4,4,4,4,4,8,5,7,4,6,9,4,0,7,7,8,8,1,9,1,44,1,1,3,1,3,24,5,168,0,0,1,64,0,0,4,63,42,56,0,0,15,4,24,-0.804384188247665,0,12,17,17,17,153,136,136,4,2,4,4,4,10,9,9,1,1,0,1,1,0,4,3,2,9,4,4,9,9,9,26,23,28,4,42,32,0,1,2,10,1,6,1,2,0,3,0,6,10
"20",120,1,10,2,3,15,2,0,0,1,1,0,6,5,10,0,5,15,3,0,0,0,0,10,2,3,102,0,10,0,0,10,10,0,0,9,0,9,5,0,9,0,5,0,9,9,9,5,0,0,5,0,5,3,1,1,1,5,9,3,1,1,3,7,9,1,8,5,6,0,8,5,5,0,0,0,8,0,0,0,9,9,0,0,0,5,0,0,9,0,0,0,0,1,9,0,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,9,1,5,6,5,9,9,0,1,2,5,5,1,4,4,4,4,1,4,4,4,4,0,0,9,9,5,5,1,0,0,1,1,8,1,9,1,25,2,3,4,2,4,24,6,NA,0,0,1,27,1,5,6,25,81,27,0,1,6,35,45,-0.962638422415735,0,18,10,0,20,20,0,40,18,5,9,4,4,5,4,4,0,0,0,0,0,0,5,5,0,8,4,9,4,9,9,26,26,26,12,82,115,10,9,9,9,0,5,9,0,0,0,24,0,0
"21",121,1,10,2,0,30,5,0,0,2,1,10,1,1,10,2,3,10,4,2,1,3,1,10,1,3,29,4,10,10,9,8,10,3,5,7,2,5,5,3,7,2,0,1,5,9,9,1,0,0,5,5,5,5,4,4,1,5,5,5,2,3,4,5,8,0,5,0,8,0,7,0,8,0,7,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,5,0,2,0,3,0,0,2,1,5,1,9,0,0,1,8,6,1,0,0,0,1,5,4,6,4,5,3,4,4,4,3,4,3,5,9,5,6,9,6,2,8,9,8,6,3,9,1,22,3,3,1,2,6,NA,6,NA,0,0,1,45,0,0,1,40,30,5,0,0,0,5,40,-0.353907838395618,0,16,14,19,18,28,38,18,0,2,0,4,4,1,4,9,2,4,2,4,0,0,13,7,5,9,9,9,9,9,9,31,33,33,1,30,50,2,0,3,8,3,9,6,0,0,0,6,48,18
"22",122,-1,8,6,6,3,1,7,1,10,4,10,3,3,8,8,8,8,4,10,5,15,7,9,8,10,75,8,10,10,8,9,5,10,5,5,5,7,7,6,5,7,3,7,5,9,7,5,5,0,3,5,5,5,7,8,6,4,6,7,6,7,7,9,8,4,5,5,5,5,5,5,5,2,6,2,5,6,7,2,4,5,2,2,1,4,3,1,3,2,4,3,2,5,2,2,0,0,0,2,0,1,0,3,0,1,3,1,3,1,0,1,0,1,0,9,1,5,4,7,6,8,0,1,4,4,2,4,4,4,4,4,6,4,4,4,4,8,6,8,6,9,7,8,0,7,7,7,5,4,9,-1,18,3,3,4,1,4,80,1,10,1,1,1,45,7,40,24,28,36,56,0,7,28,36,16,-0.477039854801946,1,14,18,18,14,108,144,112,24,12,10,6,4,10,6,9,4,2,4,4,0,2,18,20,13,5,4,4,4,7,7,19,18,25,71,43,88,12,2,3,7,5,2,1,1,0,0,14,4,15
"23",123,1,10,10,10,20,4,5,1,2,1,10,7,5,10,10,10,20,3,10,2,4,1,10,5,5,51,7,10,10,7,10,10,8,10,9,0,9,0,0,9,0,0,0,8,9,9,7,5,6,0,8,0,10,1,1,2,9,6,9,2,2,6,7,7,0,7,0,9,0,7,0,9,0,5,0,7,1,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,6,0,0,0,0,0,6,0,6,0,9,4,2,0,4,7,9,0,0,1,5,6,2,2,2,2,2,2,2,2,2,2,8,9,9,3,0,8,9,0,8,8,6,7,2,9,1,18,4,1,1,2,6,NA,6,NA,0,0,1,90,4,2,0,36,42,81,0,0,6,35,42,-0.168504220407686,0,13,17,17,20,170,170,100,8,2,0,9,9,12,15,17,0,0,0,1,0,0,0,0,1,9,9,9,9,9,9,34,34,30,6,42,112,0,0,6,15,0,12,1,0,0,0,10,0,10
"24",124,1,10,10,9,20,10,1,1,5,3,10,10,10,10,10,10,30,16,2,2,13,10,10,10,10,34,10,10,10,10,10,10,6,8,9,0,9,0,0,9,0,0,0,9,9,9,6,3,5,0,7,0,9,1,1,2,9,7,10,1,1,6,2,1,0,9,0,9,0,9,0,9,0,9,0,9,4,4,4,2,3,1,4,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,5,0,0,0,0,0,0,9,0,9,0,0,4,7,5,6,0,0,3,5,5,4,4,4,4,4,4,4,4,4,4,9,0,9,0,6,8,3,0,8,9,8,7,2,9,1,19,2,1,3,1,5,240,6,NA,0,0,1,81,0,0,8,63,35,60,0,0,18,10,5,-0.912886772180919,0,0,20,20,20,200,200,200,17,11,3,9,9,9,14,16,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,36,36,36,8,35,25,0,0,3,9,0,9,0,0,0,0,4,3,16
